,Gold/BTC Ratio,S2F Model,Onchain Mining Difficulty,BTC/USD
2015-01-01,0.541533879065086,0.0,0.0,0.0012847820771552
2015-01-02,0.541533879065086,2.717127893474953e-07,0.0,0.0012921712778369
2015-01-03,0.57153288979071,5.351442883352615e-07,0.0,0.0009717919170457
2015-01-04,0.601531900516334,8.072859846284153e-07,0.0,0.0008124327945567
2015-01-05,0.6315309112419579,1.080257136987304e-06,0.0,0.0009094335487859
2015-01-06,0.6133238259607741,1.3372017956093205e-06,0.0,0.0010199855867503
2015-01-07,0.5919654321089501,1.5807784001254386e-06,0.0,0.0010968767024574
2015-01-08,0.6139369239134271,1.8182082982041536e-06,0.0,0.0009931851188791
2015-01-09,0.6027156840968542,2.053771810448196e-06,0.0,0.0010597993764395
2015-01-10,0.6227911596807348,2.288305296014085e-06,0.0,0.0009124721120563
2015-01-11,0.6428666352646157,2.5342251523595384e-06,0.0,0.0008262576670613
2015-01-12,0.6629421108484964,2.780517632502478e-06,1.5083184658231785e-05,0.0008464145356448
2015-01-13,0.7877244484465995,2.9972981224185417e-06,3.016636931646346e-05,0.0004506824919956
2015-01-14,1.0,3.222559459588564e-06,3.016636931646346e-05,0.0
2015-01-15,0.8691029000794047,3.4646304236886816e-06,3.016636931646346e-05,0.0002995333364968
2015-01-16,0.8849187661407062,3.704572135386096e-06,3.016636931646346e-05,0.0002830473092294
2015-01-17,0.8844997365939351,3.934095343267874e-06,3.016636931646346e-05,0.0001996542844184
2015-01-18,0.8840807070471641,4.176049758490184e-06,3.016636931646346e-05,0.0003042046487447
2015-01-19,0.883661677500393,4.421497494423157e-06,3.016636931646346e-05,0.0003468777290632
2015-01-20,0.8832426479536218,4.6343885102900165e-06,3.016636931646346e-05,0.0003134149426726
2015-01-21,0.8220196981449215,4.85493763712413e-06,3.016636931646346e-05,0.0004604591146764
2015-01-22,0.8033381494731777,5.094976453462821e-06,3.016636931646346e-05,0.0005218832492854
2015-01-23,0.8001277335400431,5.302613867905345e-06,3.016636931646346e-05,0.0005169099814324
2015-01-24,0.7580294512220008,5.5124359758406045e-06,3.016636931646346e-05,0.0006581599752806
2015-01-25,0.7159311689039586,5.720238706175831e-06,3.016636931646346e-05,0.0007135634290318
2015-01-26,0.6738328865859163,5.929771145321322e-06,3.016636931646346e-05,0.0008999872485458
2015-01-27,0.7062993977990335,6.15458769785129e-06,3.016636931646346e-05,0.0008056382894634
2015-01-28,0.7924204760584365,6.41472785373816e-06,1.7944844064069875e-05,0.0005266864601191
2015-01-29,0.7743813894176245,6.689960489793321e-06,5.723318811676399e-06,0.0005228929358389
2015-01-30,0.814020091371757,6.937613691699175e-06,5.723318811676399e-06,0.000456004945515
2015-01-31,0.8000498726304557,7.196205699725811e-06,5.723318811676399e-06,0.000371441824735
