,Global averaged stocks(USD),Currency US Dollar Index,Volatility_CBOE SKEW Index,Gold/BTC Ratio,BTC Volume,S2F Model,Onchain Hash Rate (GH/s),Onchain Mining Difficulty,BTC/USD
2015-01-01,0.0564728103268365,0.09996678831581,0.261334632946936,0.5417517867581768,5.685901245518106e-05,2.063638615199497e-07,0.0001076811474355,3.3003445025335655e-07,0.0010775663035957
2015-01-02,0.0555333970077306,0.1025695205269514,0.2537612242402567,0.5424204668699208,5.557985558241307e-05,4.307110056342495e-07,0.0001030718699359,-1.0064806942565077e-07,0.0010789997477816
2015-01-03,0.0548280849030639,0.1058803193905686,0.2456935142501434,0.5713139791553328,5.383358968485034e-05,6.299660524611097e-07,9.80691229986582e-05,-5.636690090947491e-07,0.0010818231616533
2015-01-04,0.0545309440933941,0.1099052346222397,0.2372375965501781,0.6020229300075772,5.159684860755308e-05,7.943641602675758e-07,9.272499571283964e-05,-1.0534485943517216e-06,0.0010861826405677
2015-01-05,0.0537512497847087,0.1152424396620315,0.2261979067899605,0.6306532638842595,4.927428871493936e-05,1.0554603362589191e-06,8.590701779175954e-05,-1.6865261779422194e-06,0.0010894825087587
2015-01-06,0.0526972137537634,0.1218732442449745,0.2130398991821877,0.6128539720312368,4.672910793027523e-05,1.376000189157113e-06,7.784311916664207e-05,-2.4387462079908253e-06,0.0010924456948102
2015-01-07,0.0534702802974432,0.1267514732885066,0.2010537948393533,0.5922097372941515,4.68573401888581e-05,1.643392759201196e-06,7.221747396528187e-05,-2.010338139255698e-06,0.0010687067272568
2015-01-08,0.0561634534646269,0.1297211265628493,0.1902322325840843,0.613401296774331,4.999158236864538e-05,1.8612844530632229e-06,6.922376721847972e-05,-2.861980069135426e-07,0.0010152421011763
2015-01-09,0.0558156416194549,0.1322697967619141,0.1803211092046295,0.6033948518277686,5.467469913859368e-05,2.05647127097712e-06,6.725061395490099e-05,2.1383804050874e-06,0.0009448621760839
2015-01-10,0.052568763157918,0.1336056028774329,0.1722351637717288,0.6228569788210183,6.175312281648577e-05,2.200469052669519e-06,6.728737993278834e-05,5.633773024854569e-06,0.0008497926692835
2015-01-11,0.0515037667242365,0.1354838293478553,0.1655381419397076,0.642519710172584,6.966522014841819e-05,2.410699359912755e-06,6.68753927794575e-05,9.420743201756e-06,0.0007444285436501
2015-01-12,0.0518361065998386,0.1380439583216535,0.1606351708649792,0.6642279163447387,7.83392281249421e-05,2.690693434634637e-06,6.588238227133232e-05,1.3468495285438456e-05,0.0006292748047227
2015-01-13,0.050673576424498,0.1397424248368607,0.1995500261285271,0.7874584518678536,8.932767024546534e-05,2.9575359902340936e-06,6.639549887279094e-05,1.8501453090735484e-05,0.0004899730999264
2015-01-14,0.0487039554241929,0.1409562426749801,0.2867589407978444,0.9988249594926666,0.0001023499514183,3.2363605365724427e-06,6.790941246010497e-05,2.4374896846246103e-05,0.0003290170825008
2015-01-15,0.047937334882783,0.1442278183507075,0.1705388389672912,0.8688729105672498,0.000110352055171,3.49988673419997e-06,6.830688658525406e-05,2.8525853408991995e-05,0.0002312279574198
2015-01-16,0.0481248456482502,0.1496069517382176,0.2659497565159349,0.885492309364871,0.000112880415737,3.736526224640207e-06,6.766163718442325e-05,3.080992852355059e-05,0.0002027510418759
2015-01-17,0.0485584573329122,0.1561445096211224,0.2481692420269741,0.8844921604955172,0.0001131167420329,3.976703897151255e-06,6.665544233993197e-05,3.235601544597509e-05,0.0002048623065133
2015-01-18,0.0496192948071061,0.1645022851023872,0.2500235818634118,0.8842771026634769,0.0001091366287446,4.2104397935811495e-06,6.478289256930582e-05,3.247178551186531e-05,0.0002610077331742
2015-01-19,0.0506374521152091,0.17134231447,0.2504282149934171,0.8842780710398795,0.0001054722183331,4.434135340653034e-06,6.383690936189353e-05,3.285017532116883e-05,0.0003179169054823
2015-01-20,0.0515511256950725,0.1764342940563176,0.2508717152227326,0.8823134330603902,0.0001023648135324,4.649736511727955e-06,6.39085793071638e-05,3.358086168231559e-05,0.0003728901146574
2015-01-21,0.0529620522997285,0.1933276363413449,0.3136724354447779,0.8222506185191762,9.58639624056114e-05,4.849653066290245e-06,6.369314967798884e-05,3.321473096803265e-05,0.0004732690610798
2015-01-22,0.0547263864148657,0.2223790105398014,0.3471957374141666,0.8036918287542067,8.688447215273033e-05,5.032744256283968e-06,6.358835774293517e-05,3.2097189517780315e-05,0.000608510586975
2015-01-23,0.0554925782449273,0.2368177118434501,0.3025440562637629,0.7993957013814657,8.136994655818359e-05,5.241532393583456e-06,6.467929514059639e-05,3.083621110590787e-05,0.0006857377986748
2015-01-24,0.0552055567839012,0.2378848183414955,0.3417870209775573,0.7569816035210981,7.935598238602855e-05,5.477702422142156e-06,6.694239430533419e-05,2.928867959052465e-05,0.0007025439352337
2015-01-25,0.0544140226653697,0.2397148343518161,0.3259990512565472,0.7161736946699856,7.859797415451127e-05,5.719376679998113e-06,7.01577873260871e-05,2.7377536153406224e-05,0.0006964615560466
2015-01-26,0.0527570008145185,0.236971394362999,0.3153715028266742,0.6750464233988845,8.059584474441602e-05,5.977149291454676e-06,7.461232114492998e-05,2.519979367160777e-05,0.0006434224660999
2015-01-27,0.0511202929704476,0.2359474542092644,0.2914632143877031,0.7067076428851087,8.082208547249356e-05,6.224061573568682e-06,7.936711740482358e-05,2.199973624417704e-05,0.0006103989365818
2015-01-28,0.049540706476358,0.2382723979775965,0.2551590094662541,0.7922444820836503,7.903762576803092e-05,6.457316479997075e-06,8.442632540631463e-05,1.7726690055702672e-05,0.0006009836459629
