,Global averaged stocks(USD),Currency US Dollar Index,Volatility_CBOE SKEW Index,Gold/BTC Ratio,BTC Volume,S2F Model,Onchain Hash Rate (GH/s),Onchain Mining Difficulty,BTC/USD
2015-01-01,0.058738401150206,0.097570731829816,0.2626524347558243,0.541533879065086,5.011966021449143e-07,0.0,0.0001070748364859,0.0,0.0012847820771552
2015-01-02,0.058738401150206,0.097570731829816,0.2626524347558243,0.541533879065086,0.0,2.717127893474953e-07,0.0001050312201092,0.0,0.0012921712778369
2015-01-03,0.0557221827505286,0.1014891666801194,0.2584947155367945,0.57153288979071,7.178522964916706e-05,5.351442883352615e-07,0.0001029876037325,0.0,0.0009717919170457
2015-01-04,0.0527059643508512,0.1054076015304223,0.2543369963177644,0.601531900516334,0.0001361079296744,8.072859846284153e-07,0.0001070748364859,0.0,0.0008124327945567
2015-01-05,0.0496897459511738,0.1093260363807253,0.2501792770987343,0.6315309112419579,0.000102866827232,1.080257136987304e-06,0.0001111620692394,0.0,0.0009094335487859
2015-01-06,0.0454543533283788,0.1140283375755393,0.2140501835867496,0.6133238259607741,4.383703686088485e-05,1.3372017956093205e-06,9.072590547216616e-05,0.0,0.0010199855867503
2015-01-07,0.0514917467847637,0.1293104427619122,0.1895340676803318,0.5919654321089501,4.845608070248305e-05,1.5807784001254386e-06,7.0289741704911e-05,0.0,0.0010968767024574
2015-01-08,0.0606182487335468,0.1481193485837497,0.2068817248053875,0.6139369239134271,3.453911331273653e-05,1.8182082982041536e-06,7.437697445836173e-05,0.0,0.0009931851188791
2015-01-09,0.0560977121596275,0.1312698096657709,0.1627241018425178,0.6027156840968542,3.0937849040701506e-05,2.053771810448196e-06,7.846420721181247e-05,0.0,0.0010597993764395
2015-01-10,0.0550871314943374,0.1317922875763062,0.1598566891614397,0.6227911596807348,2.109541912149068e-05,2.288305296014085e-06,7.335516626999879e-05,0.0,0.0009124721120563
2015-01-11,0.0540765508290471,0.1323147654868415,0.1569892764803615,0.6428666352646157,2.9462467570601235e-05,2.5342251523595384e-06,6.824612532818511e-05,0.0,0.0008262576670613
2015-01-12,0.053065970163757,0.1328372433973759,0.1541218637992831,0.6629421108484964,3.1398585200831315e-05,2.780517632502478e-06,3.4123062664092555e-05,1.5083184658231785e-05,0.0008464145356448
2015-01-13,0.0523884005946245,0.1457680485076351,0.170035851044467,0.7877244484465995,0.0001851585338324,2.9972981224185417e-06,0.0,3.016636931646346e-05,0.0004506824919956
2015-01-14,0.0477306572178622,0.1398905457108878,0.3200001050067205,1.0,0.0002558070245138,3.222559459588564e-06,3.758869709388497e-05,3.016636931646346e-05,0.0
2015-01-15,0.0438290382538449,0.1473354822392387,0.1495340545544914,0.8691029000794047,0.0002106018833407,3.4646304236886816e-06,7.517739418776999e-05,3.016636931646346e-05,0.0002995333364968
2015-01-16,0.0495052384783868,0.1539968513804956,0.3017921584481406,0.8849187661407062,8.70764274039761e-05,3.704572135386096e-06,7.296629435871806e-05,3.016636931646346e-05,0.0002830473092294
2015-01-17,0.0496398280573804,0.1591889195619198,0.273978530719716,0.8844997365939351,4.44752860870387e-05,3.934095343267874e-06,7.075519452966612e-05,3.016636931646346e-05,0.0001996542844184
2015-01-18,0.0497744176363739,0.1643809877433444,0.2461649029912915,0.8840807070471641,6.332472327765541e-05,4.176049758490184e-06,9.065509299113484e-05,3.016636931646346e-05,0.0003042046487447
2015-01-19,0.0499090072153674,0.1695730559247681,0.2183512752628664,0.883661677500393,3.076603462848241e-05,4.421497494423157e-06,0.0001105549914526,3.016636931646346e-05,0.0003468777290632
2015-01-20,0.0500435967943609,0.1747651241061913,0.190537647534442,0.8832426479536218,4.613188474813623e-05,4.6343885102900165e-06,9.065509299113484e-05,3.016636931646346e-05,0.0003134149426726
2015-01-21,0.0511952297568493,0.1688873223520297,0.3435126410590279,0.8220196981449215,6.286740630980857e-05,4.85493763712413e-06,7.075519452966612e-05,3.016636931646346e-05,0.0004604591146764
2015-01-22,0.058840584541287,0.2213950070524051,0.4127599791386649,0.8033381494731777,7.318196969675909e-05,5.094976453462821e-06,5.6383045640827725e-05,3.016636931646346e-05,0.0005218832492854
2015-01-23,0.0558532019023976,0.2511756500380575,0.3118279569892472,0.8001277335400431,4.775771067868704e-05,5.302613867905345e-06,4.201089675198928e-05,3.016636931646346e-05,0.0005169099814324
2015-01-24,0.056001785413281,0.2485633601378554,0.3258303843946013,0.7580294512220008,4.8215882444604624e-05,5.5124359758406045e-06,4.422199658104121e-05,3.016636931646346e-05,0.0006581599752806
2015-01-25,0.0561503689241642,0.2459510702376528,0.3398328117999551,0.7159311689039586,7.32905290517433e-05,5.720238706175831e-06,4.6433096410093146e-05,3.016636931646346e-05,0.0007135634290318
2015-01-26,0.0562989524350476,0.2433387803374507,0.3538352392053092,0.6738328865859163,0.0002818934557067,5.929771145321322e-06,6.743854478608778e-05,3.016636931646346e-05,0.0008999872485458
2015-01-27,0.0477819994696921,0.212774271007289,0.2593547862063172,0.7062993977990335,0.0001041097036269,6.15458769785129e-06,8.844399316208247e-05,3.016636931646346e-05,0.0008056382894634
2015-01-28,0.0424419695293049,0.2304076762697766,0.1924015168220767,0.7924204760584365,0.0001039763551279,6.41472785373816e-06,0.00010454759248,1.7944844064069875e-05,0.0005266864601191
2015-01-29,0.0484858665554632,0.242554913992941,0.28831542093694,0.7743813894176245,6.938894572418768e-05,6.689960489793321e-06,0.000120651191798,5.723318811676399e-06,0.0005228929358389
2015-01-30,0.0417911768018864,0.2433387803374507,0.215340563046035,0.814020091371757,5.340935058974128e-05,6.937613691699175e-06,0.0001050857503046,5.723318811676399e-06,0.000456004945515
2015-01-31,0.0435577112111447,0.2394202458346761,0.2374193927578032,0.8000498726304557,4.412909286838828e-05,7.196205699725811e-06,8.952030881138065e-05,5.723318811676399e-06,0.000371441824735
2015-02-01,0.0453242456204031,0.2355017113319006,0.2594982224695712,0.786079653889154,6.0599057162750194e-05,7.459555589674823e-06,8.121874001494562e-05,5.723318811676399e-06,0.0004611668456248
2015-02-02,0.0470907800296614,0.2315831768291261,0.2815770521813396,0.7721094351478527,6.482631855525843e-05,7.720218338948498e-06,7.29171712185107e-05,5.723318811676399e-06,0.0005673969010017
2015-02-03,0.0550424671123082,0.1963166652615671,0.2787097124215949,0.7990088438660413,9.380853207644792e-05,7.96012126041062e-06,8.744491661227203e-05,5.723318811676399e-06,0.0004639601869613
2015-02-04,0.054943835084286,0.2115987704479391,0.2273835212953632,0.8030943155029245,5.337829292650433e-05,8.193962988761684e-06,0.000101972662006,5.723318811676399e-06,0.0004600438357231
2015-02-05,0.060750368154339,0.2394200465297329,0.2465950477080534,0.8380913488085562,4.1759022750911646e-05,8.45589559447785e-06,0.0001165004073997,5.723318811676399e-06,0.0003681105214812
2015-02-06,0.0589367110064149,0.2394200465297329,0.2190681922393036,0.8002630407386014,4.722659614406617e-05,8.739333150739376e-06,0.0001310281527935,5.723318811676399e-06,0.0004167573405846
2015-02-07,0.0580928701048655,0.2361546343282445,0.2392832620454377,0.8044008174423587,3.915986675047621e-05,9.021647346506864e-06,8.225643611450048e-05,5.723318811676399e-06,0.0004685463987026
2015-02-08,0.0572490292033158,0.2328892221267549,0.2594983318515722,0.8085385941461158,2.645471809235124e-05,9.265537592786964e-06,3.3484719435446025e-05,5.723318811676399e-06,0.0004275718726603
2015-02-09,0.0564051883017665,0.2296238099252674,0.2797134016577061,0.8126763708498731,5.678893722876394e-05,9.509558958484744e-06,6.831651072000656e-05,2.013553493258885e-05,0.0003964115517561
2015-02-10,0.0608935774143768,0.2417713466058475,0.2318280401195678,0.8076227013548667,3.7766260962476906e-05,9.76516767122864e-06,0.0001031483020045,3.45477510535013e-05,0.0003938542167318
