,Currency US Dollar Index,Gold/BTC Ratio,S2F Model,Onchain Mining Difficulty,BTC/USD
2015-01-01,0.09996678831581,0.5417517867581768,2.063638615199497e-07,3.3003445025335655e-07,0.0010775663035957
2015-01-02,0.1025695205269514,0.5424204668699208,4.307110056342495e-07,-1.0064806942565077e-07,0.0010789997477816
2015-01-03,0.1058803193905686,0.5713139791553328,6.299660524611097e-07,-5.636690090947491e-07,0.0010818231616533
2015-01-04,0.1099052346222397,0.6020229300075772,7.943641602675758e-07,-1.0534485943517216e-06,0.0010861826405677
2015-01-05,0.1152424396620315,0.6306532638842595,1.0554603362589191e-06,-1.6865261779422194e-06,0.0010894825087587
2015-01-06,0.1218732442449745,0.6128539720312368,1.376000189157113e-06,-2.4387462079908253e-06,0.0010924456948102
2015-01-07,0.1267514732885066,0.5922097372941515,1.643392759201196e-06,-2.010338139255698e-06,0.0010687067272568
2015-01-08,0.1297211265628493,0.613401296774331,1.8612844530632229e-06,-2.861980069135426e-07,0.0010152421011763
2015-01-09,0.1322697967619141,0.6033948518277686,2.05647127097712e-06,2.1383804050874e-06,0.0009448621760839
2015-01-10,0.1336056028774329,0.6228569788210183,2.200469052669519e-06,5.633773024854569e-06,0.0008497926692835
2015-01-11,0.1354838293478553,0.642519710172584,2.410699359912755e-06,9.420743201756e-06,0.0007444285436501
2015-01-12,0.1380439583216535,0.6642279163447387,2.690693434634637e-06,1.3468495285438456e-05,0.0006292748047227
2015-01-13,0.1397424248368607,0.7874584518678536,2.9575359902340936e-06,1.8501453090735484e-05,0.0004899730999264
2015-01-14,0.1409562426749801,0.9988249594926666,3.2363605365724427e-06,2.4374896846246103e-05,0.0003290170825008
2015-01-15,0.1442278183507075,0.8688729105672498,3.49988673419997e-06,2.8525853408991995e-05,0.0002312279574198
2015-01-16,0.1496069517382176,0.885492309364871,3.736526224640207e-06,3.080992852355059e-05,0.0002027510418759
2015-01-17,0.1561445096211224,0.8844921604955172,3.976703897151255e-06,3.235601544597509e-05,0.0002048623065133
2015-01-18,0.1645022851023872,0.8842771026634769,4.2104397935811495e-06,3.247178551186531e-05,0.0002610077331742
2015-01-19,0.17134231447,0.8842780710398795,4.434135340653034e-06,3.285017532116883e-05,0.0003179169054823
2015-01-20,0.1764342940563176,0.8823134330603902,4.649736511727955e-06,3.358086168231559e-05,0.0003728901146574
2015-01-21,0.1933276363413449,0.8222506185191762,4.849653066290245e-06,3.321473096803265e-05,0.0004732690610798
2015-01-22,0.2223790105398014,0.8036918287542067,5.032744256283968e-06,3.2097189517780315e-05,0.000608510586975
2015-01-23,0.2368177118434501,0.7993957013814657,5.241532393583456e-06,3.083621110590787e-05,0.0006857377986748
2015-01-24,0.2378848183414955,0.7569816035210981,5.477702422142156e-06,2.928867959052465e-05,0.0007025439352337
2015-01-25,0.2397148343518161,0.7161736946699856,5.719376679998113e-06,2.7377536153406224e-05,0.0006964615560466
2015-01-26,0.236971394362999,0.6750464233988845,5.977149291454676e-06,2.519979367160777e-05,0.0006434224660999
2015-01-27,0.2359474542092644,0.7067076428851087,6.224061573568682e-06,2.199973624417704e-05,0.0006103989365818
2015-01-28,0.2382723979775965,0.7922444820836503,6.457316479997075e-06,1.7726690055702672e-05,0.0006009836459629
2015-01-29,0.2371371236731378,0.7746295678849356,6.698836477026356e-06,1.2806923770050087e-05,0.0005612525244734
2015-01-30,0.2342912341855344,0.813503721328331,6.942201901920767e-06,7.047719271224499e-06,0.0005053984612746
2015-01-31,0.2313611673892514,0.8005903110125631,7.188277921495722e-06,3.550234163565174e-06,0.00047146088829
2015-02-01,0.2276755867489521,0.7859481666075122,7.439517992141762e-06,2.6410994313669365e-06,0.0004564767995311
2015-02-02,0.2238175363780553,0.7728769663310495,7.69075373881438e-06,2.701484316105585e-06,0.0004519486251647
2015-02-03,0.2200012251661693,0.7983854678845627,7.942800037953896e-06,4.612788379531381e-06,0.0004666436886555
2015-02-04,0.2233629204682123,0.8030664576643453,8.199819776409721e-06,6.660509420243746e-06,0.0004644421883074
2015-02-05,0.2348921388803077,0.8367269125275051,8.46136811040063e-06,8.731424304372495e-06,0.0004441046853693
2015-02-06,0.2381143158045433,0.8003733165730128,8.726161176257927e-06,1.2465557972086492e-05,0.0004307628356154
2015-02-07,0.2339113105664387,0.805153656668913,8.995019269179976e-06,1.752636867416532e-05,0.0004165597741961
2015-02-08,0.2341357383928481,0.8083463093053913,9.257209593278491e-06,2.0971764257177e-05,0.0004112289103252
2015-02-09,0.2359310837350051,0.8118666604809359,9.511714358436904e-06,2.2762174796648056e-05,0.0004182894213278
2015-02-10,0.2347894825330638,0.8076203171999913,9.764221957413429e-06,2.4098140865802657e-05,0.0004275309284252
2015-02-11,0.2319857834050702,0.8018547182840517,1.0011762083132124e-05,2.4239237365473606e-05,0.0004422806614179
2015-02-12,0.221774249603691,0.7929505532843202,1.026002805551895e-05,2.5349369894509293e-05,0.0004633327126756
2015-02-13,0.2254161950801965,0.7521498604744227,1.0509461947384364e-05,2.756419768798742e-05,0.0004899619154891
2015-02-14,0.2218004737843122,0.7419771203299703,1.075462461109088e-05,2.9189286015775637e-05,0.0005248146477815
2015-02-15,0.219325723766065,0.7328809715854264,1.0996669998058511e-05,3.070102049489277e-05,0.0005681257014425
2015-02-16,0.2179470827653952,0.7240058931532208,1.1244241578672146e-05,3.249608983068819e-05,0.0005957915429616
2015-02-17,0.2175013288863963,0.7146396777294628,1.149738054861019e-05,3.441757666444026e-05,0.0006061746437124
2015-02-18,0.2181324950281821,0.7303631068257173,1.1752681537920995e-05,3.661066024359118e-05,0.0006110447782155
2015-02-19,0.2201360596209827,0.7228819433499227,1.2012297132417398e-05,3.9134067302894704e-05,0.0006039235746147
2015-02-20,0.2221717444117106,0.7119569713701621,1.2269749446604242e-05,4.1339271667086144e-05,0.0005994083617518
2015-02-21,0.2243030405772074,0.7162938575300144,1.2524645279745231e-05,4.322655211306884e-05,0.0005985357016382
2015-02-22,0.2281090330456785,0.7195737910211825,1.2781996225595594e-05,4.515704901595623e-05,0.0005884430573601
2015-02-23,0.233425798916882,0.7236578643233452,1.3040374326715851e-05,4.698873124048442e-05,0.000572197636194
2015-02-24,0.2365281908139979,0.7227756998113445,1.3295627126938572e-05,4.86258872948848e-05,0.0005739783866148
2015-02-25,0.2373855088510984,0.7284930267964211,1.3547901641275568e-05,5.007905813927948e-05,0.0005944601251487
2015-02-26,0.2519531341907436,0.7363841959971645,1.379814083107565e-05,5.128180144555488e-05,0.0006242263774944
2015-02-27,0.2515028730539995,0.6886935918744966,1.4045294176466356e-05,5.219988700944457e-05,0.0006696217416747
2015-02-28,0.2591626436448521,0.6688377724786375,1.4292980100628057e-05,5.297687775461487e-05,0.0007133483609729
2015-03-01,0.2654062294640136,0.6507763373200808,1.454124339248477e-05,5.358986038074304e-05,0.0007546317783274
2015-03-02,0.2719050228471923,0.6314289984602742,1.4787354923659631e-05,5.39253472561102e-05,0.0008075947558879
2015-03-03,0.2785692738978694,0.6163882184662643,1.5032026821125342e-05,5.399731732736656e-05,0.0008686850028367
2015-03-04,0.2915548869596346,0.6326161843142992,1.5278509062668123e-05,5.4386662472889246e-05,0.0009153722686532
2015-03-05,0.311475323268023,0.6227110964056247,1.5526778220062434e-05,5.512823339668941e-05,0.000947240627342
2015-03-06,0.3294795640321482,0.6143889647220176,1.5775752365067122e-05,5.5946242755891536e-05,0.0009726088031038
2015-03-07,0.3432174971539118,0.6025040412474089,1.6026251913168204e-05,5.699589982582427e-05,0.0009856073927312
2015-03-08,0.3578782645086899,0.5903768363099654,1.6275599628369187e-05,5.788724540366176e-05,0.0010030742389292
2015-03-09,0.3701990703656019,0.5800365873248307,1.6523683035494173e-05,5.859284123158658e-05,0.0010257111997378
2015-03-10,0.3970833244355516,0.571785559115575,1.6772532582251566e-05,5.943970584717223e-05,0.0010400465617831
2015-03-11,0.4397587104445077,0.5590609009227853,1.7021579261502932e-05,6.034351508409742e-05,0.0010495509404556
2015-03-12,0.428804796264952,0.5625580983148529,1.7267443786706025e-05,6.1003549341401393e-05,0.0010520734026564
2015-03-13,0.4504045277590817,0.580842559733178,1.7510018644105255e-05,6.143130578185521e-05,0.0010456222541928
2015-03-14,0.4456189234031624,0.5783289909730998,1.7750498633039933e-05,6.171198703878648e-05,0.0010333995144331
2015-03-15,0.4381019801931816,0.5745604477236235,1.798797055745972e-05,6.177261878725843e-05,0.0010141546486051
2015-03-16,0.4307945882663601,0.5723775030150251,1.822490606678601e-05,6.186953040183836e-05,0.000985368555963
2015-03-17,0.424908275223357,0.5791387000629007,1.846136922262139e-05,6.201193485144547e-05,0.0009468760226991
2015-03-18,0.3993602136120016,0.6461194586044838,1.869531126546569e-05,6.201093364385289e-05,0.0008985060985183
2015-03-19,0.3827441813344984,0.6447572635602248,1.892720972238726e-05,6.192094155054974e-05,0.0008393822347901
2015-03-20,0.3648847577772678,0.6523936384737694,1.9168104843521116e-05,6.154196661364259e-05,0.0007949047367553
2015-03-21,0.355179579748888,0.6488358395961112,1.9418833155089715e-05,6.083185119825498e-05,0.0007671325793261
2015-03-22,0.3469966752645723,0.6447628386840117,1.967450319442497e-05,5.992131194113937e-05,0.0007431393618801
2015-03-23,0.3434719031293808,0.6420337983258545,1.9938209930278776e-05,5.874611806484991e-05,0.0007298592966561
2015-03-24,0.3403938077351219,0.6981781362637757,2.0203014797108782e-05,5.737052221111617e-05,0.0007121498748861
2015-03-25,0.3376878440090401,0.6995175481343363,2.046863403415125e-05,5.579926260673641e-05,0.0006888730798125
2015-03-26,0.3402281557553787,0.6983761154583251,2.0741308969795143e-05,5.393955082050614e-05,0.0006735823461483
2015-03-27,0.347435875286903,0.6998451791868351,2.101971466272976e-05,5.179962174003752e-05,0.0006630916361417
2015-03-28,0.3529540791636075,0.6958160793959013,2.128957045004554e-05,5.09803884865348e-05,0.0006545259954145
2015-03-29,0.357163208309642,0.6928388583565891,2.1550389853224947e-05,5.16255010119444e-05,0.0006495249788383
2015-03-30,0.3630449208089592,0.690278927274759,2.180816033282408e-05,5.29839367246766e-05,0.0006474901046923
2015-03-31,0.3693118594875186,0.6978747906517635,2.2059150696684637e-05,5.551013191484391e-05,0.0006483412029415
2015-04-01,0.3675745522857332,0.7033758176875945,2.2313433519210867e-05,5.825462665160153e-05,0.0006573671092708
2015-04-02,0.3570897935475418,0.684880789230434,2.257157607784536e-05,6.117464086855547e-05,0.0006749738924344
2015-04-03,0.3492332810665441,0.6845644132117114,2.282536611250365e-05,6.515347084597209e-05,0.000698820479163
2015-04-04,0.3423376169317118,0.6853522385509188,2.3076937953501323e-05,7.001199376088045e-05,0.0007303785694967
2015-04-05,0.341226693497411,0.6857986675224075,2.3327659637499342e-05,7.352277896765488e-05,0.0007412857778609
2015-04-06,0.3486054431630621,0.6868492571289743,2.3576609879865417e-05,7.560039875124678e-05,0.0007288235377958
2015-04-07,0.3617764060482659,0.6894081823278573,2.3824535670706605e-05,7.719775572416119e-05,0.0007076735978389
2015-04-08,0.3832821778266191,0.7068629607477787,2.407147069559556e-05,7.773065293328727e-05,0.0006699020556042
2015-04-09,0.3975466652044227,0.7059496931139497,2.431444545680874e-05,7.874509135795024e-05,0.0006316921997858
2015-04-10,0.4037838784767688,0.73436675627325,2.4553340838940778e-05,8.033060024118125e-05,0.0005941814670048
2015-04-11,0.4122997340447407,0.7470601954666224,2.47895159224554e-05,8.121633800718052e-05,0.0005423133786874
2015-04-12,0.4194509575764405,0.7584395300031577,2.5022210570367046e-05,8.17297006740979e-05,0.0004793651291443
2015-04-13,0.4181849882221887,0.7707766601583365,2.5260299582862104e-05,8.19116469595875e-05,0.0004392416717776
2015-04-14,0.408555096305906,0.7837122989229439,2.550463898785421e-05,8.160046563430301e-05,0.0004231274208446
2015-04-15,0.391003928060934,0.7740559828083888,2.5750382589605005e-05,8.098858955052337e-05,0.0004170101820647
2015-04-16,0.3634599327905602,0.7559950385873564,2.5999976287503253e-05,8.003015567325989e-05,0.0004297922432719
2015-04-17,0.3507521146802052,0.7774491759657407,2.6248489005168e-05,7.836302654656457e-05,0.0004378180661711
2015-04-18,0.3543814032741204,0.7729912759003124,2.649548703512732e-05,7.597035361218533e-05,0.000439850783001
2015-04-19,0.3587786715472963,0.7694420228797149,2.674554337354446e-05,7.296591071077512e-05,0.0004553508389018
2015-04-20,0.3700724856427788,0.7647678039947459,2.6997609551742878e-05,6.924802494195993e-05,0.0004793844580644
2015-04-21,0.3710887753031194,0.7372706497989424,2.724763987435402e-05,6.666667782294674e-05,0.0004924495076002
2015-04-22,0.3592533484891443,0.7309228983062049,2.7495883787190705e-05,6.538546860622576e-05,0.0004951310495658
2015-04-23,0.3476753251794491,0.7280151807535442,2.774359787165132e-05,6.443661782619555e-05,0.0004934203946245
2015-04-24,0.3316964444145828,0.733317358408525,2.798986973696453e-05,6.432849496688823e-05,0.000482566023425
2015-04-25,0.3205899171791272,0.7401680587488102,2.823822444197851e-05,6.399188819719276e-05,0.0004790372202819
2015-04-26,0.3162152705168948,0.7476531103439553,2.848886870115889e-05,6.33425174218257e-05,0.0004835281310809
2015-04-27,0.3039125496459925,0.756317473546967,2.873933768430792e-05,6.335443699500621e-05,0.0004838741205595
2015-04-28,0.2856223717503952,0.7743480405713938,2.8990443217753702e-05,6.380305945180753e-05,0.0004836239004682
2015-04-29,0.2709445708493649,0.7714392996216182,2.924100741619539e-05,6.381486104649553e-05,0.0004874680628497
2015-04-30,0.2579440396495696,0.722352613075913,2.9490689593167407e-05,6.344141373091135e-05,0.0004945302511788
2015-05-01,0.2614203027567818,0.7291489679871075,2.974065844694584e-05,6.295595395029426e-05,0.0005050858620842
2015-05-02,0.26126468575949,0.7246999455893598,2.999054663859545e-05,6.216045940350557e-05,0.0005201434840359
2015-05-03,0.2612370646993646,0.7208530714478164,3.0240479066646923e-05,6.18171123571683e-05,0.0005338759030204
2015-05-04,0.2543215450265692,0.7155679682018747,3.0490571504998915e-05,6.197050618488285e-05,0.0005462955476135
2015-05-05,0.2494221930245272,0.7270460005414937,3.074044718569914e-05,6.208662289316045e-05,0.0005611509052555
2015-05-06,0.2435846509306156,0.7454138023325211,3.099015152295204e-05,6.234079081762809e-05,0.0005772453914264
2015-05-07,0.2406276628991676,0.717826045476813,3.1243379658745366e-05,6.263056681965475e-05,0.0005873796767146
2015-05-08,0.241436285429361,0.7029527931470889,3.150043739424602e-05,6.289753532880627e-05,0.0005911831768268
2015-05-09,0.2420337021306894,0.7028252267605432,3.175961812760973e-05,6.332283229238665e-05,0.000591185216613
2015-05-10,0.24345150637068,0.7035486770959757,3.202196005063594e-05,6.38710916772189e-05,0.0005853586368738
2015-05-11,0.2388897858335594,0.7049149613575706,3.228528088207728e-05,6.448158580392781e-05,0.0005788861810439
2015-05-12,0.2271612465381442,0.7131116738793476,3.254948307476308e-05,6.517605762543138e-05,0.0005718381850802
2015-05-13,0.2122273648378385,0.7422057039655577,3.2816587843455695e-05,6.595708549162938e-05,0.0005597668613922
2015-05-14,0.1919572254822454,0.7450180687398563,3.3086182713660785e-05,6.68186602661408e-05,0.000543616237754
2015-05-15,0.1848886694711736,0.7439723520129498,3.335089605278668e-05,6.769837083934454e-05,0.0005350814357028
2015-05-16,0.1927720042591492,0.7492405758039832,3.361029677937022e-05,6.858808994650143e-05,0.0005346592454952
