,Global averaged stocks(USD),Currency US Dollar Index,Gold/BTC Ratio,S2F Model,BTC/USD
2015-01-01,0.058738401150206,0.097570731829816,0.541533879065086,0.0,0.0012847820771552
2015-01-02,0.058738401150206,0.097570731829816,0.541533879065086,2.717127893474953e-07,0.0012921712778369
2015-01-03,0.0557221827505286,0.1014891666801194,0.57153288979071,5.351442883352615e-07,0.0009717919170457
2015-01-04,0.0527059643508512,0.1054076015304223,0.601531900516334,8.072859846284153e-07,0.0008124327945567
2015-01-05,0.0496897459511738,0.1093260363807253,0.6315309112419579,1.080257136987304e-06,0.0009094335487859
2015-01-06,0.0454543533283788,0.1140283375755393,0.6133238259607741,1.3372017956093205e-06,0.0010199855867503
2015-01-07,0.0514917467847637,0.1293104427619122,0.5919654321089501,1.5807784001254386e-06,0.0010968767024574
2015-01-08,0.0606182487335468,0.1481193485837497,0.6139369239134271,1.8182082982041536e-06,0.0009931851188791
2015-01-09,0.0560977121596275,0.1312698096657709,0.6027156840968542,2.053771810448196e-06,0.0010597993764395
2015-01-10,0.0550871314943374,0.1317922875763062,0.6227911596807348,2.288305296014085e-06,0.0009124721120563
2015-01-11,0.0540765508290471,0.1323147654868415,0.6428666352646157,2.5342251523595384e-06,0.0008262576670613
2015-01-12,0.053065970163757,0.1328372433973759,0.6629421108484964,2.780517632502478e-06,0.0008464145356448
2015-01-13,0.0523884005946245,0.1457680485076351,0.7877244484465995,2.9972981224185417e-06,0.0004506824919956
2015-01-14,0.0477306572178622,0.1398905457108878,1.0,3.222559459588564e-06,0.0
2015-01-15,0.0438290382538449,0.1473354822392387,0.8691029000794047,3.4646304236886816e-06,0.0002995333364968
2015-01-16,0.0495052384783868,0.1539968513804956,0.8849187661407062,3.704572135386096e-06,0.0002830473092294
2015-01-17,0.0496398280573804,0.1591889195619198,0.8844997365939351,3.934095343267874e-06,0.0001996542844184
2015-01-18,0.0497744176363739,0.1643809877433444,0.8840807070471641,4.176049758490184e-06,0.0003042046487447
2015-01-19,0.0499090072153674,0.1695730559247681,0.883661677500393,4.421497494423157e-06,0.0003468777290632
2015-01-20,0.0500435967943609,0.1747651241061913,0.8832426479536218,4.6343885102900165e-06,0.0003134149426726
2015-01-21,0.0511952297568493,0.1688873223520297,0.8220196981449215,4.85493763712413e-06,0.0004604591146764
2015-01-22,0.058840584541287,0.2213950070524051,0.8033381494731777,5.094976453462821e-06,0.0005218832492854
2015-01-23,0.0558532019023976,0.2511756500380575,0.8001277335400431,5.302613867905345e-06,0.0005169099814324
2015-01-24,0.056001785413281,0.2485633601378554,0.7580294512220008,5.5124359758406045e-06,0.0006581599752806
2015-01-25,0.0561503689241642,0.2459510702376528,0.7159311689039586,5.720238706175831e-06,0.0007135634290318
2015-01-26,0.0562989524350476,0.2433387803374507,0.6738328865859163,5.929771145321322e-06,0.0008999872485458
2015-01-27,0.0477819994696921,0.212774271007289,0.7062993977990335,6.15458769785129e-06,0.0008056382894634
2015-01-28,0.0424419695293049,0.2304076762697766,0.7924204760584365,6.41472785373816e-06,0.0005266864601191
2015-01-29,0.0484858665554632,0.242554913992941,0.7743813894176245,6.689960489793321e-06,0.0005228929358389
2015-01-30,0.0417911768018864,0.2433387803374507,0.814020091371757,6.937613691699175e-06,0.000456004945515
2015-01-31,0.0435577112111447,0.2394202458346761,0.8000498726304557,7.196205699725811e-06,0.000371441824735
2015-02-01,0.0453242456204031,0.2355017113319006,0.786079653889154,7.459555589674823e-06,0.0004611668456248
2015-02-02,0.0470907800296614,0.2315831768291261,0.7721094351478527,7.720218338948498e-06,0.0005673969010017
2015-02-03,0.0550424671123082,0.1963166652615671,0.7990088438660413,7.96012126041062e-06,0.0004639601869613
2015-02-04,0.054943835084286,0.2115987704479391,0.8030943155029245,8.193962988761684e-06,0.0004600438357231
2015-02-05,0.060750368154339,0.2394200465297329,0.8380913488085562,8.45589559447785e-06,0.0003681105214812
2015-02-06,0.0589367110064149,0.2394200465297329,0.8002630407386014,8.739333150739376e-06,0.0004167573405846
2015-02-07,0.0580928701048655,0.2361546343282445,0.8044008174423587,9.021647346506864e-06,0.0004685463987026
2015-02-08,0.0572490292033158,0.2328892221267549,0.8085385941461158,9.265537592786964e-06,0.0004275718726603
2015-02-09,0.0564051883017665,0.2296238099252674,0.8126763708498731,9.509558958484744e-06,0.0003964115517561
2015-02-10,0.0608935774143768,0.2417713466058475,0.8076227013548667,9.76516767122864e-06,0.0003938542167318
2015-02-11,0.0610479854511766,0.2507837168658016,0.8017191442280835,1.0016029774932418e-05,0.0003876824860743
2015-02-12,0.0647664586613713,0.215517205298243,0.7930718190728813,1.0249114273562063e-05,0.0004120200790438
2015-02-13,0.0666226559097404,0.2198275733208015,0.7507730143625874,1.0468736683971496e-05,0.0005409549784126
2015-02-14,0.0668104015502244,0.2184561061753243,0.7417037179436218,1.0729843916454308e-05,0.0007475643213338
2015-02-15,0.0669981471907084,0.2170846390298479,0.7326344215246563,1.0978765255753924e-05,0.0005352739796112
2015-02-16,0.0671858928311922,0.2157131718843712,0.7235651251056907,1.1232314487555914e-05,0.0005260070960062
2015-02-17,0.0673736384716763,0.214341704738894,0.7144958286867251,1.148745889302836e-05,0.0006181762725662
2015-02-18,0.0671362418343159,0.2198275733208015,0.7314821514675328,1.1753475163620995e-05,0.0005494386781664
2015-02-19,0.0665619777126912,0.2276647419788231,0.7238361635880104,1.2031136838319503e-05,0.0005867800893439
2015-02-20,0.070710372834295,0.2217869402246606,0.7118002307562338,1.2307083141877202e-05,0.0006197711510983
2015-02-21,0.0705720512375267,0.2259666638564672,0.7158501967798354,1.2558619313513312e-05,0.0006268958346381
2015-02-22,0.0704337296407583,0.2301463874882729,0.7199001628034369,1.2804925487711256e-05,0.000546145245358
2015-02-23,0.0702954080439899,0.23432611112008,0.7239501288270386,1.3052769036775663e-05,0.0005736534441777
2015-02-24,0.0725152822995925,0.2311912436568706,0.7223663192094065,1.328122867491323e-05,0.0005721718889939
2015-02-25,0.0728365717189055,0.2202195064930561,0.728733640253069,1.3522468058100494e-05,0.0005602343470164
2015-02-26,0.0730730532811217,0.2625393203741275,0.7372347195467243,1.378234907063752e-05,0.0005503822714329
2015-02-27,0.0707063421461605,0.260971886642523,0.688155287430202,1.4039751227681657e-05,0.0007146014824209
2015-02-28,0.0721974353058213,0.2637148209334765,0.6690273038695044,1.4291492500220284e-05,0.000718706465916
2015-03-01,0.0736885284654821,0.2664577552244305,0.6498993203088065,1.452835988886538e-05,0.0007747515573286
2015-03-02,0.0751796216251429,0.269200689515384,0.6307713367481088,1.4780024019662606e-05,0.0009207200934861
2015-03-03,0.072648240539267,0.266065822052175,0.6152857203021652,1.504945721731522e-05,0.0009776426848783
2015-03-04,0.0699882042456437,0.2891850958965705,0.6329952358685269,1.530258083144888e-05,0.0008963920041265
2015-03-05,0.0712039033619643,0.3052507684700369,0.6234176257448082,1.5529957176426952e-05,0.0009255139447039
2015-03-06,0.063743720569168,0.3538403172775268,0.6144767677196479,1.576907508005947e-05,0.0008929096510731
2015-03-07,0.0648890714681675,0.3534483841052718,0.6028487293339188,1.601259228227968e-05,0.000926296984561
2015-03-08,0.0660344223671671,0.3530564509330163,0.5912206909481897,1.6265822805301114e-05,0.0009083011792684
2015-03-09,0.0671797732661667,0.3526645177607612,0.5795926525624606,1.652206781105293e-05,0.0010522405507207
2015-03-10,0.0579113366262966,0.3930252636953892,0.5721622008947649,1.6772434738112827e-05,0.0010725581167077
2015-03-11,0.0570769515012351,0.4392635124267623,0.5585963571693622,1.7031146077657545e-05,0.0011161465674513
2015-03-12,0.063841023559481,0.4137932374636692,0.5631527355667663,1.7277316300917537e-05,0.0010970371118727
2015-03-13,0.060105360009081,0.4600314861950427,0.5813167982216348,1.7511366324276796e-05,0.0010119455327854
2015-03-14,0.0622312393436412,0.4504964387196093,0.5779065542328815,1.7749016933689377e-05,0.0009793697499843
2015-03-15,0.0643571186782016,0.440961391244175,0.5744963102441283,1.7981075966393254e-05,0.001021910787723
2015-03-16,0.0664829980127618,0.4314263437687411,0.571086066255375,1.8223695082062103e-05,0.001061545160777
2015-03-17,0.0637963918587071,0.431034410596486,0.5787917579806282,1.845358842872728e-05,0.0010135309077076
2015-03-18,0.0698761837967644,0.3902823294044344,0.6469092312919676,1.869201041966535e-05,0.0007379198852269
2015-03-19,0.0674753534314337,0.4118338705598097,0.6451914198976342,1.8942519195016823e-05,0.0007816027960931
2015-03-20,0.0719968050804972,0.3652039876135964,0.6518419634419395,1.9176070674612573e-05,0.0007893502540687
2015-03-21,0.0717955575425759,0.3537096728867746,0.6483329496361232,1.9422617537506054e-05,0.0007730812258938
2015-03-22,0.0715943100046545,0.3422153581599532,0.6448239358303068,1.9671192128647863e-05,0.0008479621841156
2015-03-23,0.0713930624667332,0.3307210434331313,0.6413149220244906,1.991707014011891e-05,0.0008364492807072
2015-03-24,0.0686904098164032,0.3369907783595485,0.6990223136668963,2.019080555029499e-05,0.000636908319637
2015-03-25,0.0595250389615029,0.3287619754866879,0.7005979923638451,2.048260578776733e-05,0.0006425893184384
2015-03-26,0.0583321295737687,0.346787014964014,0.698526400262143,2.0744172584066995e-05,0.0006646241579333
2015-03-27,0.0597218454799755,0.3409092132098519,0.6996916587705974,2.102243480359519e-05,0.0006504407401465
2015-03-28,0.0621006559418407,0.3499217827747514,0.6962959359010503,2.129400192680956e-05,0.0007048815934113
