,Accuracy,Recall,Precision,F1 Score,MAE,RMSE,MASE,RMSSE,Forecast_Day
full_normalized,0.5311871227364185,0.602112676056338,0.5876288659793815,0.5947826086956521,0.11904337581308784,0.149328129601996,24.902954512756903,16.451584708385266,1.0
random_forest_normalized,0.5070422535211268,0.5140845070422535,0.5770750988142292,0.5437616387337058,0.17621325421620485,0.2260378837495856,36.862451390668376,24.902752091798405,1.0
boruta_normalized,0.41851106639839036,0.1056338028169014,0.46153846153846156,0.17191977077363896,0.2600276833008287,0.3213099789848512,54.39578242022746,35.39894560393739,1.0
lasso_normalized,0.4869215291750503,0.44014084507042256,0.5656108597285068,0.49504950495049505,0.24909904183721632,0.30042877394305884,52.109595058724175,33.098448608000886,1.0
singleSet_normalized,0.4647887323943662,0.5719844357976653,0.48514851485148514,0.525,0.10243163353900298,0.1281970376382981,15.54895257157817,11.212372328936143,1.0
full_denoised,0.5211267605633803,0.6964980544747081,0.528023598820059,0.6006711409395973,0.10473902019989835,0.12475008934430787,15.899210050786419,10.910895255964656,1.0
random_forest_denoised,0.5191146881287726,0.6186770428015564,0.53,0.5709156193895871,0.1339217891495347,0.15258324659121567,20.32910611538877,13.345239511427597,1.0
boruta_denoised,0.4969818913480885,0.31906614785992216,0.5222929936305732,0.3961352657004831,0.16048429060359515,0.19208483688916586,24.36124990751522,16.80012853355422,1.0
lasso_denoised,0.5432595573440644,0.7821011673151751,0.5403225806451613,0.6391096979332274,0.09747180692512662,0.11616070775361878,14.796059094066171,10.159650560733535,1.0
singleSet_denoised,0.46277665995975853,0.5669014084507042,0.5278688524590164,0.5466893039049237,0.08495347748642157,0.10958749152115436,17.771611155135624,12.07333075519634,1.0
