# Data Source: Blockchain.com Public Charts API (https://www.blockchain.com/explorer/charts)
Date,Miner Revenue (USD)
2012-01-02,63012.4893246422
2012-01-04,
2012-01-06,60436.957273902
2012-01-08,
2012-01-10,58149.1264872017
2012-01-12,
2012-01-14,60879.0075160823
2012-01-16,
2012-01-18,48170.5949892576
2012-01-20,
2012-01-22,48845.2985672148
2012-01-24,
2012-01-26,53094.3502675725
2012-01-28,
2012-01-30,51072.9095432556
2012-02-01,
2012-02-03,54515.3249872762
2012-02-05,
2012-02-07,43025.432066404
2012-02-09,
2012-02-11,46949.2130839446
2012-02-13,
2012-02-15,38044.813129311
2012-02-17,
2012-02-19,36583.9155078438
2012-02-21,
2012-02-23,40768.5214860064
2012-02-25,
2012-02-27,44206.1031315952
2012-02-29,
2012-03-02,36950.8110274022
2012-03-04,
2012-03-06,41102.2274464368
2012-03-08,
2012-03-10,45810.2437535655
2012-03-12,
2012-03-14,45828.1974228738
2012-03-16,
2012-03-18,47538.342423108
2012-03-20,
2012-03-22,42873.4562543576
2012-03-24,
2012-03-26,48194.038893809
2012-03-28,
2012-03-30,43187.946633504
2012-04-01,
2012-04-03,36713.2875190774
2012-04-05,
2012-04-07,34986.860483824
2012-04-09,
2012-04-10,
2012-04-11,38494.438652033
2012-04-13,
2012-04-14,
2012-04-15,28884.0840423412
2012-04-17,
2012-04-18,
2012-04-19,45875.2410504836
2012-04-21,
2012-04-22,
2012-04-23,38979.04505166
2012-04-25,
2012-04-26,
2012-04-27,41139.2927718113
2012-04-29,
2012-04-30,
2012-05-01,47536.71701085
2012-05-03,
2012-05-04,
2012-05-05,47164.841369471
2012-05-07,
2012-05-08,
2012-05-09,46999.023647331
2012-05-11,
2012-05-12,
2012-05-13,40563.4083685
2012-05-15,
2012-05-16,
2012-05-17,30660.804986283
2012-05-19,
2012-05-20,
2012-05-21,33577.3277565435
2012-05-23,
2012-05-24,
2012-05-25,31620.9331111791
2012-05-27,
2012-05-28,
2012-05-29,34661.6432505252
2012-05-31,
2012-06-01,
2012-06-02,51161.0132020947
2012-06-04,
2012-06-05,
2012-06-06,45358.3473886863
2012-06-08,
2012-06-09,
2012-06-10,61517.1607357136
2012-06-12,
2012-06-13,
2012-06-14,54511.9268304376
2012-06-16,
2012-06-17,
2012-06-18,79953.9891214155
2012-06-20,
2012-06-21,
2012-06-22,49101.457631244
2012-06-24,
2012-06-25,
2012-06-26,58502.8101289665
2012-06-28,
2012-06-29,
2012-06-30,45449.1543067431
2012-07-02,
2012-07-03,
2012-07-04,55792.3337719693
2012-07-06,
2012-07-07,
2012-07-08,56695.2287056026
2012-07-10,
2012-07-11,
2012-07-12,78642.5914367299
2012-07-14,
2012-07-15,
2012-07-16,64134.408049218
2012-07-18,
2012-07-19,
2012-07-20,79163.6715730521
2012-07-22,
2012-07-23,
2012-07-24,86528.605765769
2012-07-26,
2012-07-27,
2012-07-28,75834.0973742251
2012-07-30,
2012-07-31,
2012-08-01,77805.1686569322
2012-08-03,
2012-08-04,
2012-08-05,84261.4932141129
2012-08-07,
2012-08-08,
2012-08-09,108030.487505667
2012-08-11,
2012-08-12,
2012-08-13,114712.743940131
2012-08-15,
2012-08-16,
2012-08-17,107047.282328846
2012-08-19,
2012-08-20,
2012-08-21,118921.157143547
2012-08-23,
2012-08-24,
2012-08-25,86373.85082235
2012-08-27,
2012-08-28,
2012-08-29,113713.559348395
2012-08-31,
2012-09-01,
2012-09-02,94608.3067920648
2012-09-04,
2012-09-05,
2012-09-06,117683.9088304
2012-09-08,
2012-09-09,
2012-09-10,98340.1683113496
2012-09-12,
2012-09-13,
2012-09-14,134619.212003651
2012-09-16,
2012-09-17,
2012-09-18,128014.294127641
2012-09-20,
2012-09-21,
2012-09-22,146361.719310345
2012-09-24,
2012-09-26,99418.3082844119
2012-09-28,
2012-09-30,176971.904416766
2012-10-02,
2012-10-04,104693.917559021
2012-10-06,
2012-10-08,137518.651284201
2012-10-10,
2012-10-12,114162.297968099
2012-10-14,
2012-10-16,125996.042213467
2012-10-18,
2012-10-20,140569.408327441
2012-10-22,
2012-10-24,130715.728158564
2012-10-26,
2012-10-28,110126.632663093
2012-10-30,
2012-11-01,89057.727438161
2012-11-03,
2012-11-05,125929.116647769
2012-11-07,
2012-11-09,123377.173144575
2012-11-11,
2012-11-13,87382.408627066
2012-11-15,
2012-11-17,97100.0207675039
2012-11-19,
2012-11-21,103354.954791625
2012-11-23,
2012-11-25,120070.703294598
2012-11-27,
2012-11-29,70184.8818238485
2012-12-01,
2012-12-03,60848.2277570568
2012-12-05,
2012-12-07,54129.9060769477
2012-12-09,
2012-12-11,68361.6679052077
2012-12-13,
2012-12-15,43350.7608756963
2012-12-16,
2012-12-17,
2012-12-19,50729.40811098
2012-12-20,
2012-12-21,
2012-12-23,54028.9104482196
2012-12-24,
2012-12-25,
2012-12-27,65673.98492875
2012-12-28,
2012-12-29,
2012-12-31,58010.8309494952
2013-01-02,
2013-01-04,66924.4397808084
2013-01-06,
2013-01-08,57332.7336966342
2013-01-10,
2013-01-12,49937.2533556821
2013-01-14,
2013-01-16,50380.8905820691
2013-01-18,
2013-01-20,59220.9635158945
2013-01-22,
2013-01-24,75398.3863826241
2013-01-26,
2013-01-28,73729.1486800971
2013-01-30,
2013-02-01,87344.8827794721
2013-02-03,
2013-02-05,107510.605361521
2013-02-07,
2013-02-09,90602.983263546
2013-02-11,
2013-02-13,112723.823173785
2013-02-15,
2013-02-17,138276.524899366
2013-02-19,
2013-02-21,141595.865437183
2013-02-23,
2013-02-25,166362.790813607
2013-02-27,
2013-03-01,130725.696049606
2013-03-03,
2013-03-05,130198.802397664
2013-03-07,
2013-03-09,190417.32780928
2013-03-11,
2013-03-13,187532.509307682
2013-03-15,
2013-03-17,262626.561324697
2013-03-19,
2013-03-21,395885.964153684
2013-03-23,
2013-03-25,276717.29554471
2013-03-27,
2013-03-29,412357.154045375
2013-03-31,
2013-04-02,531299.50374904
2013-04-04,
2013-04-06,591783.084092298
2013-04-08,
2013-04-10,1222539.97556962
2013-04-12,
2013-04-14,407971.672898
2013-04-16,
2013-04-18,382166.716530321
2013-04-20,
2013-04-22,478662.08930603
2013-04-24,
2013-04-26,619929.370863019
2013-04-28,
2013-04-30,552276.319031692
2013-05-02,
2013-05-04,411141.895158456
2013-05-06,
2013-05-07,
2013-05-08,500229.167555164
2013-05-10,
2013-05-11,
2013-05-12,521616.294996101
2013-05-14,
2013-05-15,
2013-05-16,431451.045810658
2013-05-18,
