# Data Source: Blockchain.com Public Charts API (https://www.blockchain.com/explorer/charts)
Date,Mining Difficulty
2012-01-02,
2012-01-04,1159929.49722438
2012-01-06,
2012-01-08,1159929.49722438
2012-01-10,
2012-01-12,1250757.73927466
2012-01-14,
2012-01-16,1250757.73927466
2012-01-18,
2012-01-20,1250757.73927466
2012-01-22,
2012-01-24,1307728.36060407
2012-01-26,
2012-01-28,1307728.36060407
2012-01-30,
2012-02-01,1307728.36060407
2012-02-03,
2012-02-05,1379647.43921429
2012-02-07,
2012-02-09,1379647.43921429
2012-02-11,
2012-02-13,1379647.43921429
2012-02-15,
2012-02-17,1379647.43921429
2012-02-19,
2012-02-21,1376302.26788638
2012-02-23,
2012-02-25,1376302.26788638
2012-02-27,
2012-02-29,1376302.26788638
2012-03-02,
2012-03-04,1496978.59502557
2012-03-06,
2012-03-08,1496978.59502557
2012-03-10,
2012-03-12,1496978.59502557
2012-03-14,
2012-03-16,1498294.36281651
2012-03-18,
2012-03-20,1498294.36281651
2012-03-22,
2012-03-24,1498294.36281651
2012-03-26,
2012-03-28,1498294.36281651
2012-03-30,
2012-04-01,1626553.48132894
2012-04-03,
2012-04-05,1626553.48132894
2012-04-07,
2012-04-09,1626553.48132894
2012-04-10,
2012-04-11,
2012-04-13,1577913.48567673
2012-04-14,
2012-04-15,
2012-04-17,1577913.48567673
2012-04-18,
2012-04-19,
2012-04-21,1577913.48567673
2012-04-22,
2012-04-23,
2012-04-25,1577913.48567673
2012-04-26,
2012-04-27,
2012-04-29,1508589.67206029
2012-04-30,
2012-05-01,
2012-05-03,1508589.67206029
2012-05-04,
2012-05-05,
2012-05-07,1508589.67206029
2012-05-08,
2012-05-09,
2012-05-11,1733207.51384839
2012-05-12,
2012-05-13,
2012-05-15,1733207.51384839
2012-05-16,
2012-05-17,
2012-05-19,1733207.51384839
2012-05-20,
2012-05-21,
2012-05-23,1733207.51384839
2012-05-24,
2012-05-25,
2012-05-27,1591074.96184731
2012-05-28,
2012-05-29,
2012-05-31,1591074.96184731
2012-06-01,
2012-06-02,
2012-06-04,1591074.96184731
2012-06-05,
2012-06-06,
2012-06-08,1591074.96184731
2012-06-09,
2012-06-10,
2012-06-12,1583177.84744401
2012-06-13,
2012-06-14,
2012-06-16,1583177.84744401
2012-06-17,
2012-06-18,
2012-06-20,1726566.55919348
2012-06-21,
2012-06-22,
2012-06-24,1726566.55919348
2012-06-25,
2012-06-26,
2012-06-28,1726566.55919348
2012-06-29,
2012-06-30,
2012-07-02,1726566.55919348
2012-07-03,
2012-07-04,
2012-07-06,1751454.53534068
2012-07-07,
2012-07-08,
2012-07-10,1751454.53534068
2012-07-11,
2012-07-12,
2012-07-14,1751454.53534068
2012-07-15,
2012-07-16,
2012-07-18,1866391.30500321
2012-07-19,
2012-07-20,
2012-07-22,1866391.30500321
2012-07-23,
2012-07-24,
2012-07-26,1866391.30500321
2012-07-27,
2012-07-28,
2012-07-30,2036671.08869332
2012-07-31,
2012-08-01,
2012-08-03,2036671.08869332
2012-08-04,
2012-08-05,
2012-08-07,2036671.08869332
2012-08-08,
2012-08-09,
2012-08-11,2036671.08869332
2012-08-12,
2012-08-13,
2012-08-15,2190865.97010286
2012-08-16,
2012-08-17,
2012-08-19,2190865.97010286
2012-08-20,
2012-08-21,
2012-08-23,2190865.97010286
2012-08-24,
2012-08-25,
2012-08-27,2440642.60691596
2012-08-28,
2012-08-29,
2012-08-31,2440642.60691596
2012-09-01,
2012-09-02,
2012-09-04,2440642.60691596
2012-09-05,
2012-09-06,
2012-09-08,2694047.95295501
2012-09-09,
2012-09-10,
2012-09-12,2694047.95295501
2012-09-13,
2012-09-14,
2012-09-16,2694047.95295501
2012-09-17,
2012-09-18,
2012-09-20,2864140.50781097
2012-09-21,
2012-09-22,
2012-09-24,2864140.50781097
2012-09-26,
2012-09-28,2864140.50781097
2012-09-30,
2012-10-02,2864140.50781097
2012-10-04,
2012-10-06,3054627.52694864
2012-10-08,
2012-10-10,3054627.52694864
2012-10-12,
2012-10-14,3054627.52694864
2012-10-16,
2012-10-18,3072321.73202076
2012-10-20,
2012-10-22,3072321.73202076
2012-10-24,
2012-10-26,3072321.73202076
2012-10-28,
2012-10-30,3304356.39299034
2012-11-01,
2012-11-03,3304356.39299034
2012-11-05,
2012-11-07,3304356.39299034
2012-11-09,
2012-11-11,3304356.39299034
2012-11-13,
2012-11-15,3368767.14053294
2012-11-17,
2012-11-19,3368767.14053294
2012-11-21,
2012-11-23,3368767.14053294
2012-11-25,
2012-11-27,3438908.96015914
2012-11-29,
2012-12-01,3438908.96015914
2012-12-03,
2012-12-05,3438908.96015914
2012-12-07,
2012-12-09,3438908.96015914
2012-12-11,
2012-12-13,3370181.79927784
2012-12-15,
2012-12-16,
2012-12-17,3370181.79927784
2012-12-19,
2012-12-20,
2012-12-21,3370181.79927784
2012-12-23,
2012-12-24,
2012-12-25,3370181.79927784
2012-12-27,
2012-12-28,
2012-12-29,2979636.61693807
2012-12-31,
2013-01-02,2979636.61693807
2013-01-04,
2013-01-06,2979636.61693807
2013-01-08,
2013-01-10,3249549.58448721
2013-01-12,
2013-01-14,3249549.58448721
2013-01-16,
2013-01-18,3249549.58448721
2013-01-20,
2013-01-22,3249549.58448721
2013-01-24,
2013-01-26,2968775.33207507
2013-01-28,
2013-01-30,2968775.33207507
2013-02-01,
2013-02-03,2968775.33207507
2013-02-05,
2013-02-07,3275464.58656562
2013-02-09,
2013-02-11,3275464.58656562
2013-02-13,
2013-02-15,3275464.58656562
2013-02-17,
2013-02-19,3651011.63069321
2013-02-21,
2013-02-23,3651011.63069321
2013-02-25,
2013-02-27,3651011.63069321
2013-03-01,
2013-03-03,4367876.0008422
2013-03-05,
2013-03-07,4367876.0008422
2013-03-09,
2013-03-11,4367876.0008422
2013-03-13,
2013-03-15,4847647.15206561
2013-03-17,
2013-03-19,4847647.15206561
2013-03-21,
2013-03-23,4847647.15206561
2013-03-25,
2013-03-27,6695826.28259625
2013-03-29,
2013-03-31,6695826.28259625
2013-04-02,
2013-04-04,6695826.28259625
2013-04-06,
2013-04-08,7672999.92016414
2013-04-10,
2013-04-12,7672999.92016414
2013-04-14,
2013-04-16,7672999.92016414
2013-04-18,
2013-04-20,8974296.01488785
2013-04-22,
2013-04-24,8974296.01488785
2013-04-26,
2013-04-28,8974296.01488785
2013-04-30,
2013-05-02,10076292.8834187
2013-05-04,
2013-05-06,10076292.8834187
2013-05-07,
2013-05-08,
2013-05-10,10076292.8834187
2013-05-11,
2013-05-12,
2013-05-14,11187257.4613608
2013-05-15,
2013-05-16,
2013-05-18,11187257.4613608
2013-05-19,
2013-05-20,
2013-05-22,11187257.4613608
2013-05-23,
2013-05-24,
2013-05-26,12153411.7097758
2013-05-27,
2013-05-28,
2013-05-30,12153411.7097758
2013-05-31,
2013-06-01,
2013-06-03,12153411.7097758
2013-06-04,
2013-06-05,
2013-06-07,15605632.6812859
2013-06-08,
2013-06-09,
2013-06-11,15605632.6812859
2013-06-12,
2013-06-13,
2013-06-15,15605632.6812859
2013-06-16,
2013-06-17,
2013-06-19,19339258.2723867
2013-06-20,
2013-06-21,
2013-06-23,19339258.2723867
2013-06-24,
2013-06-25,
2013-06-27,19339258.2723867
2013-06-28,
2013-06-29,
2013-07-01,21335329.113983
2013-07-02,
2013-07-03,
2013-07-05,21335329.113983
2013-07-06,
2013-07-07,
2013-07-09,21335329.113983
2013-07-10,
2013-07-11,
2013-07-13,26162875.6825699
2013-07-14,
