# Data Source: Blockchain.com Public Charts API (https://www.blockchain.com/explorer/charts)
Date,Active Addresses,Transaction Count,Mempool Size,Hash Rate (GH/s),Mining Difficulty,Miner Revenue (USD),Transaction Fees (BTC),Median Confirmation Time (min)
2012-01-02,,5410.0,,,,63012.4893246422,5.55312158,
2012-01-04,9542.0,,,8.87970284099127,1159929.49722438,,,13.6166666666667
2012-01-06,,6644.0,,,,60436.957273902,6.48923847,
2012-01-08,10661.0,,,9.28332569739997,1159929.49722438,,,14.0166666666667
2012-01-10,,6677.0,,,,58149.1264872017,4.89613037,
2012-01-12,10691.0,,,10.3211337404744,1250757.73927466,,,13.3333333333333
2012-01-14,,6807.0,,,,60879.0075160823,12.78590354,
2012-01-16,11532.0,,,9.82372970478891,1250757.73927466,,,13.05
2012-01-18,,6647.0,,,,48170.5949892576,10.84433779,
2012-01-20,10999.0,,,8.58021961557513,1250757.73927466,,,12.8666666666667
2012-01-22,,5325.0,,,,48845.2985672148,3.03810531,
2012-01-24,11684.0,,,8.77601647007213,1307728.36060407,,,12.85
2012-01-26,,6598.0,,,,53094.3502675725,8.95157979,
2012-01-28,10203.0,,,10.076167058231,1307728.36060407,,,10.8833333333333
2012-01-30,,6153.0,,,,51072.9095432556,29.11896874,
2012-02-01,11456.0,,,8.77601647007213,1307728.36060407,,,17.0333333333333
2012-02-03,,7050.0,,,,54515.3249872762,6.90589652,
2012-02-05,11451.0,,,9.3272398828152,1379647.43921429,,,16.4833333333333
2012-02-07,,7012.0,,,,43025.432066404,6.64074854,
2012-02-09,12023.0,,,9.87590105239257,1379647.43921429,,,13.2166666666667
2012-02-11,,7679.0,,,,46949.2130839446,3.91143183,
2012-02-13,12755.0,,,10.0816489909841,1379647.43921429,,,10.8333333333333
2012-02-15,,9337.0,,,,38044.813129311,6.10036407,
2012-02-17,11012.0,,,9.73873575999822,1379647.43921429,,,13.3166666666667
2012-02-19,,5958.0,,,,36583.9155078438,2.65186887,
2012-02-21,11225.0,,,8.75729367404835,1376302.26788638,,,16.15
2012-02-23,,8014.0,,,,40768.5214860064,5.00951708,
2012-02-25,11022.0,,,11.42553159036,1376302.26788638,,,8.98333333333333
2012-02-27,,6735.0,,,,44206.1031315952,5.66176552,
2012-02-29,12043.0,,,12.7254423701015,1376302.26788638,,,7.28333333333333
2012-03-02,,7645.0,,,,36950.8110274022,4.50574566,
2012-03-04,12059.0,,,9.67397724650567,1496978.59502557,,,8.18333333333333
2012-03-06,,6368.0,,,,41102.2274464368,4.84595258,
2012-03-08,12185.0,,,11.6087726958068,1496978.59502557,,,8.96666666666667
2012-03-10,,5370.0,,,,45810.2437535655,4.38179608,
2012-03-12,11290.0,,,12.5761704204574,1496978.59502557,,,7.88333333333333
2012-03-14,,6895.0,,,,45828.1974228738,5.17901821,
2012-03-16,12250.0,,,10.6507281967033,1498294.36281651,,,9.0
2012-03-18,,6039.0,,,,47538.342423108,3.22801017,
2012-03-20,12143.0,,,11.0231312805041,1498294.36281651,,,9.15833333333333
2012-03-22,,6587.0,,,,42873.4562543576,3.38385442,
2012-03-24,10955.0,,,12.810666082748,1498294.36281651,,,7.90833333333333
2012-03-26,,6619.0,,,,48194.038893809,3.47762179,
2012-03-28,12531.0,,,11.8424180648659,1498294.36281651,,,9.55
2012-03-30,,6828.0,,,,43187.946633504,4.39585095,
2012-04-01,9862.0,,,12.1284618185812,1626553.48132894,,,8.74166666666667
2012-04-03,,7739.0,,,,36713.2875190774,5.07741879,
2012-04-05,12119.0,,,9.62191304274106,1626553.48132894,,,10.275
2012-04-07,,6080.0,,,,34986.860483824,3.7089169,
2012-04-09,,,,12.209318230705,1626553.48132894,,,8.66666666666667
2012-04-10,13537.0,,,,,,,
2012-04-11,,7858.0,,,,38494.438652033,5.24550745,
2012-04-13,,,,9.88325160797756,1577913.48567673,,,11.5333333333333
2012-04-14,13106.0,,,,,,,
2012-04-15,,7371.0,,,,28884.0840423412,3.69750206,
2012-04-17,,,,11.1382676851811,1577913.48567673,,,9.21666666666667
2012-04-18,14652.0,,,,,,,
2012-04-19,,7900.0,,,,45875.2410504836,5.84943097,
2012-04-21,,,,11.5304602093072,1577913.48567673,,,10.7
2012-04-22,11365.0,,,,,,,
2012-04-23,,7104.0,,,,38979.04505166,4.2807022,
2012-04-25,,,,10.8245136658802,1577913.48567673,,,9.88333333333333
2012-04-26,14837.0,,,,,,,
2012-04-27,,7195.0,,,,41139.2927718113,6.88570856,
2012-04-29,,,,12.4487382935262,1508589.67206029,,,8.35
2012-04-30,15186.0,,,,,,,
2012-05-01,,10208.0,,,,47536.71701085,6.73048886,
2012-05-03,,,,12.4487382935262,1508589.67206029,,,8.91666666666667
2012-05-04,17784.0,,,,,,,
2012-05-05,,12998.0,,,,47164.841369471,7.87065714,
2012-05-07,,,,12.8237002903192,1508589.67206029,,,9.55
2012-05-08,19584.0,,,,,,,
2012-05-09,,17245.0,,,,46999.023647331,14.13032343,
2012-05-11,,,,10.5974601790129,1733207.51384839,,,15.1833333333333
2012-05-12,19032.0,,,,,,,
2012-05-13,,14737.0,,,,40563.4083685,11.80632246,
2012-05-15,,,,11.2867258817129,1733207.51384839,,,12.2166666666667
2012-05-16,20227.0,,,,,,,
2012-05-17,,16935.0,,,,30660.804986283,11.71657133,
2012-05-19,,,,12.5790990742755,1733207.51384839,,,11.2833333333333
2012-05-20,24706.0,,,,,,,
2012-05-21,,31604.0,,,,33577.3277565435,19.56744229,
2012-05-23,,,,10.4251437533379,1733207.51384839,,,16.5
2012-05-24,23103.0,,,,,,,
2012-05-25,,28999.0,,,,31620.9331111791,19.27748871,
2012-05-27,,,,12.9712135181187,1591074.96184731,,,9.45
2012-05-28,24094.0,,,,,,,
2012-05-29,,29816.0,,,,34661.6432505252,16.97474696,
2012-05-31,,,,11.5475437417398,1591074.96184731,,,10.7166666666667
2012-06-01,23507.0,,,,,,,
2012-06-02,,12800.0,,,,51161.0132020947,7.13557653,
2012-06-04,,,,11.9430075685117,1591074.96184731,,,14.775
2012-06-05,34403.0,,,,,,,
2012-06-06,,15937.0,,,,45358.3473886863,11.27363476,
2012-06-08,,,,11.7057292724486,1591074.96184731,,,14.8166666666667
2012-06-09,25160.0,,,,,,,
2012-06-10,,40721.0,,,,61517.1607357136,25.33678545,
2012-06-12,,,,11.0180276735338,1583177.84744401,,,12.3
2012-06-13,38857.0,,,,,,,
2012-06-14,,61938.0,,,,54511.9268304376,38.72082266,
2012-06-16,,,,12.5920316268957,1583177.84744401,,,23.7833333333333
2012-06-17,32557.0,,,,,,,
2012-06-18,,39071.0,,,,79953.9891214155,27.88555011,
2012-06-20,,,,11.6726201299773,1726566.55919348,,,21.2916666666667
2012-06-21,23348.0,,,,,,,
2012-06-22,,23565.0,,,,49101.457631244,20.70231783,
2012-06-24,,,,12.0159324867414,1726566.55919348,,,13.7166666666667
2012-06-25,26708.0,,,,,,,
2012-06-26,,30235.0,,,,58502.8101289665,18.27898114,
2012-06-28,,,,11.5867920407863,1726566.55919348,,,14.1666666666667
2012-06-29,26456.0,,,,,,,
2012-06-30,,22618.0,,,,45449.1543067431,13.94161293,
2012-07-02,,,,13.8183223597526,1726566.55919348,,,10.5166666666667
2012-07-03,26886.0,,,,,,,
2012-07-04,,23164.0,,,,55792.3337719693,13.28572083,
2012-07-06,,,,13.3209874109609,1751454.53534068,,,11.65
2012-07-07,25832.0,,,,,,,
2012-07-08,,20799.0,,,,56695.2287056026,11.50252767,
2012-07-10,,,,13.1468568565692,1751454.53534068,,,18.1666666666667
2012-07-11,28013.0,,,,,,,
2012-07-12,,24303.0,,,,78642.5914367299,13.53006867,
2012-07-14,,,,12.9727263021776,1751454.53534068,,,17.2666666666667
2012-07-15,24275.0,,,,,,,
2012-07-16,,31379.0,,,,64134.408049218,21.28658376,
2012-07-18,,,,14.009601065922,1866391.30500321,,,14.7
2012-07-19,27587.0,,,,,,,
2012-07-20,,36794.0,,,,79163.6715730521,37.47018662,
2012-07-22,,,,12.8962552858487,1866391.30500321,,,11.8833333333333
2012-07-23,33404.0,,,,,,,
2012-07-24,,28369.0,,,,86528.605765769,15.98700134,
2012-07-26,,,,16.5146290710868,1866391.30500321,,,13.0666666666667
2012-07-27,26568.0,,,,,,,
2012-07-28,,35230.0,,,,75834.0973742251,20.56362157,
2012-07-30,,,,18.730041758676,2036671.08869332,,,12.4666666666667
2012-07-31,45337.0,,,,,,,
2012-08-01,,30538.0,,,,77805.1686569322,20.02226151,
2012-08-03,,,,17.5151201310862,2036671.08869332,,,10.2166666666667
2012-08-04,28146.0,,,,,,,
2012-08-05,,33283.0,,,,84261.4932141129,25.67591134,
2012-08-07,,,,15.0852768759066,2036671.08869332,,,12.6333333333333
2012-08-08,39343.0,,,,,,,
2012-08-09,,29942.0,,,,108030.487505667,17.38277224,
2012-08-11,,,,15.996468096599,2036671.08869332,,,13.1666666666667
2012-08-12,31503.0,,,,,,,
2012-08-13,,48872.0,,,,114712.743940131,25.55351796,
2012-08-15,,,,18.623360014449,2190865.97010286,,,16.0666666666667
2012-08-16,47583.0,,,,,,,
2012-08-17,,40554.0,,,,107047.282328846,30.86566635,
2012-08-19,,,,17.2075490191985,2190865.97010286,,,13.2333333333333
2012-08-20,33907.0,,,,,,,
2012-08-21,,42415.0,,,,118921.157143547,24.56426695,
2012-08-23,,,,17.9699087858719,2190865.97010286,,,9.63333333333333
2012-08-24,35254.0,,,,,,,
2012-08-25,,33439.0,,,,86373.85082235,23.9103034,
2012-08-27,,,,18.0774253068439,2440642.60691596,,,11.1833333333333
2012-08-28,31789.0,,,,,,,
2012-08-29,,34209.0,,,,113713.559348395,24.15507933,
2012-08-31,,,,17.3494752944877,2440642.60691596,,,12.2
2012-09-01,36448.0,,,,,,,
2012-09-02,,33588.0,,,,94608.3067920648,30.5544115,
2012-09-04,,,,15.5296002635974,2440642.60691596,,,15.6166666666667
2012-09-05,34684.0,,,,,,,
2012-09-06,,42790.0,,,,117683.9088304,25.55427416,
2012-09-08,,,,18.7490590191164,2694047.95295501,,,13.4
2012-09-09,32968.0,,,,,,,
2012-09-10,,33632.0,,,,98340.1683113496,24.05863046,
2012-09-12,,,,18.8829808692529,2694047.95295501,,,14.4
2012-09-13,27581.0,,,,,,,
2012-09-14,,36118.0,,,,134619.212003651,20.22012586,
2012-09-16,,,,20.0882775204818,2694047.95295501,,,11.8833333333333
2012-09-17,26455.0,,,,,,,
2012-09-18,,32821.0,,,,128014.294127641,22.40126053,
2012-09-20,,,,20.9294479443629,2864140.50781097,,,14.7
2012-09-21,29568.0,,,,,,,
2012-09-22,,22014.0,,,,146361.719310345,15.23518456,
2012-09-24,,,,22.2108427164667,2864140.50781097,,,13.0583333333333
2012-09-26,36372.0,32413.0,,,,99418.3082844119,19.55185895,
2012-09-28,,,,23.3498602916702,2864140.50781097,,,11.2166666666667
2012-09-30,25258.0,20668.0,,,,176971.904416766,11.45608154,
2012-10-02,,,,19.3632987784582,2864140.50781097,,,12.3166666666667
2012-10-04,36409.0,31955.0,,,,104693.917559021,131.01704826,
2012-10-06,,,,21.5621828335442,3054627.52694864,,,12.4833333333333
2012-10-08,38115.0,38211.0,,,,137518.651284201,27.24366665,
2012-10-10,,,,22.6251073394231,3054627.52694864,,,11.9333333333333
2012-10-12,35240.0,28693.0,,,,114162.297968099,20.45036309,
2012-10-14,,,,20.9547974016134,3054627.52694864,,,13.1833333333333
2012-10-16,31821.0,34533.0,,,,125996.042213467,25.01043862,
2012-10-18,,,,23.672520961597,3072321.73202076,,,10.95
2012-10-20,32674.0,30699.0,,,,140569.408327441,18.11057193,
2012-10-22,,,,25.3525063201619,3072321.73202076,,,10.6666666666667
2012-10-24,32550.0,32194.0,,,,130715.728158564,21.30409168,
