Date,Close,High,Low,Open,Volume,Index,Currency,Daily_Return,MA_5,MA_20,MA_50,MA_200,Volatility_20,CloseUSD
,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,,,,,,,,,
2012-01-03,12208.400390625,12216.7998046875,11955.900390625,12097.2001953125,162333300.0,GSPTSE,CAD,,,,,,,9034.2162890625
2012-01-04,12226.5,12234.2998046875,12154.0,12189.7001953125,175575300.0,GSPTSE,CAD,0.0014825537167750813,,,,,,9047.61
2012-01-05,12237.400390625,12253.099609375,12137.099609375,12196.2001953125,161562800.0,GSPTSE,CAD,0.0008915381037091219,,,,,,9055.6762890625
2012-01-06,12188.599609375,12246.0,12148.2998046875,12241.7998046875,144785000.0,GSPTSE,CAD,-0.003987838894883744,,,,,,9019.5637109375
2012-01-09,12196.7001953125,12210.599609375,12150.7001953125,12195.0,149905200.0,GSPTSE,CAD,0.0006646034981139248,12211.5201171875,,,,,9025.55814453125
2012-01-10,12270.7001953125,12346.7998046875,12198.400390625,12320.7001953125,188406200.0,GSPTSE,CAD,0.006067214805233867,12223.980078125,,,,,9080.31814453125
2012-01-11,12260.900390625,12284.7001953125,12228.7001953125,12268.400390625,178804200.0,GSPTSE,CAD,-0.0007986345140470474,12230.86015625,,,,,9073.0662890625
2012-01-12,12274.2998046875,12307.5,12227.599609375,12279.0,231832500.0,GSPTSE,CAD,0.0010928572646056178,12238.2400390625,,,,,9082.98185546875
2012-01-13,12231.099609375,12268.099609375,12117.0,12216.7001953125,179576800.0,GSPTSE,CAD,-0.0035195649446334576,12246.7400390625,,,,,9051.0137109375
2012-01-16,12258.599609375,12272.5,12226.599609375,12232.599609375,948000.0,GSPTSE,CAD,0.0022483669398720707,12259.119921875,,,,,9071.3637109375
2012-01-17,12232.7998046875,12317.0,12198.900390625,12302.5,276862200.0,GSPTSE,CAD,-0.002104629036726924,12251.53984375,,,,,9052.27185546875
2012-01-18,12327.5,12346.7001953125,12209.7001953125,12209.7001953125,255761900.0,GSPTSE,CAD,0.007741498007366454,12264.859765625,,,,,9122.35
2012-01-19,12380.7001953125,12417.7001953125,12335.400390625,12378.7998046875,261849100.0,GSPTSE,CAD,0.004315570497870569,12286.13984375,,,,,9161.718144531249
2012-01-20,12397.099609375,12397.099609375,12354.0,12361.5,191752300.0,GSPTSE,CAD,0.001324595039358778,12319.33984375,,,,,9173.8537109375
2012-01-23,12521.7001953125,12530.2998046875,12408.0,12433.0,207744000.0,GSPTSE,CAD,0.01005078525329206,12371.9599609375,,,,,9266.05814453125
2012-01-24,12395.2001953125,12509.599609375,12355.2001953125,12454.5,242250500.0,GSPTSE,CAD,-0.010102461968172327,12404.4400390625,,,,,9172.44814453125
2012-01-25,12539.2001953125,12539.599609375,12326.7998046875,12375.0,294333800.0,GSPTSE,CAD,0.01161740010092438,12446.780078125,,,,,9279.00814453125
2012-01-26,12464.2998046875,12616.0,12424.7001953125,12591.099609375,240864600.0,GSPTSE,CAD,-0.005973298891343903,12463.5,,,,,9223.58185546875
2012-01-27,12466.5,12529.0,12430.2998046875,12430.2998046875,187536000.0,GSPTSE,CAD,0.00017651976821619897,12477.380078125,,,,,9225.21
2012-01-30,12436.400390625,12454.2998046875,12338.2998046875,12371.7001953125,187569700.0,GSPTSE,CAD,-0.002414439447719907,12460.3201171875,12325.730029296876,,,,9202.9362890625
2012-01-31,12452.2001953125,12532.7001953125,12366.7001953125,12518.5,209443200.0,GSPTSE,CAD,0.0012704483766388108,12471.7201171875,12337.92001953125,,,0.005237882365101984,9214.62814453125
2012-02-01,12517.7001953125,12542.2998046875,12463.7998046875,12510.7001953125,213032700.0,GSPTSE,CAD,0.005260114596025822,12467.4201171875,12352.480029296876,,,0.005323526564589165,9263.09814453125
2012-02-02,12553.5,12574.599609375,12497.900390625,12515.2001953125,200591200.0,GSPTSE,CAD,0.002859934662830854,12485.26015625,12368.285009765625,,,0.005335879427102238,9289.59
2012-02-03,12577.2998046875,12624.0,12553.5,12580.7001953125,213276200.0,GSPTSE,CAD,0.001895870051180859,12507.4201171875,12387.72001953125,,,0.005189805885283836,9307.20185546875
2012-02-06,12559.900390625,12592.099609375,12521.599609375,12547.2001953125,147979100.0,GSPTSE,CAD,-0.0013833982120721178,12532.1201171875,12405.880029296875,,,0.005228950681157189,9294.3262890625
2012-02-07,12512.400390625,12568.900390625,12424.7998046875,12568.900390625,203803000.0,GSPTSE,CAD,-0.003781877126625588,12544.16015625,12417.9650390625,,,0.0052380969565688435,9259.1762890625
2012-02-08,12521.0,12575.2001953125,12469.5,12543.7998046875,181283400.0,GSPTSE,CAD,0.0006872869398779624,12544.8201171875,12430.97001953125,,,0.005221923298186488,9265.539999999999
2012-02-09,12497.900390625,12547.400390625,12461.900390625,12521.099609375,200222300.0,GSPTSE,CAD,-0.0018448693694592677,12533.7001953125,12442.150048828125,,,0.005262203561700908,9248.4462890625
2012-02-10,12389.400390625,12458.400390625,12328.900390625,12403.0,192173600.0,GSPTSE,CAD,-0.008681458213684379,12496.1203125,12450.065087890625,,,0.005606535842058099,9168.1562890625
