Date,Close,High,Low,Open,Volume,Index,Currency,Daily_Return,MA_5,MA_20,MA_50,MA_200,Volatility_20,CloseUSD
,^HSI,^HSI,^HSI,^HSI,^HSI,,,,,,,,,
2012-01-03,18877.41015625,18886.119140625,18724.169921875,18770.640625,1247580300.0,HSI,HKD,,,,,,,2416.3085
2012-01-04,18727.310546875,18970.599609375,18687.939453125,18970.599609375,1169241200.0,HSI,HKD,-0.007951281883087358,,,,,,2397.09575
2012-01-05,18813.41015625,18821.08984375,18723.279296875,18753.380859375,1035426900.0,HSI,HKD,0.004597542672210686,,,,,,2408.1165
2012-01-06,18593.060546875,18784.859375,18506.580078125,18784.859375,1434068900.0,HSI,HKD,-0.011712369397410827,,,,,,2379.91175
2012-01-09,18865.720703125,18884.259765625,18302.83984375,18588.359375,1380951700.0,HSI,HKD,0.014664619391874467,18775.382421875,,,,,2414.81225
2012-01-10,19004.279296875,19086.529296875,18858.5703125,18948.119140625,1994815200.0,HSI,HKD,0.007344463322148442,18800.75625,,,,,2432.54775
2012-01-11,19151.939453125,19175.849609375,18983.140625,19071.900390625,2037326200.0,HSI,HKD,0.00776983720052371,18885.68203125,,,,,2451.44825
2012-01-12,19095.380859375,19261.2890625,19050.94921875,19112.759765625,1791582400.0,HSI,HKD,-0.0029531522845730462,18942.076171875,,,,,2444.2087500000002
2012-01-13,19204.419921875,19232.2109375,19073.1796875,19232.2109375,2018465200.0,HSI,HKD,0.005710232401385573,19064.348046875,,,,,2458.16575
2012-01-16,19012.19921875,19070.740234375,18985.75,19070.740234375,1354845900.0,HSI,HKD,-0.01000919079602347,19093.64375,,,,,2433.5615000000003
2012-01-17,19627.75,19640.279296875,19173.2890625,19185.849609375,2590203600.0,HSI,HKD,0.03237662167157063,19218.337890625,,,,,2512.352
2012-01-18,19686.919921875,19726.83984375,19577.0703125,19651.58984375,1947200800.0,HSI,HKD,0.003014605437454687,19325.333984375,,,,,2519.92575
2012-01-19,19942.94921875,19956.5390625,19776.3203125,19842.4609375,2497477200.0,HSI,HKD,0.013005045882800381,19494.84765625,,,,,2552.6975
2012-01-20,20110.369140625,20161.720703125,19927.880859375,20161.720703125,1966388400.0,HSI,HKD,0.008394942996575283,19676.0375,,,,,2574.12725
2012-01-26,20439.140625,20453.470703125,20301.58984375,20453.470703125,2041611000.0,HSI,HKD,0.016348356515786033,19961.42578125,,,,,2616.21
2012-01-27,20501.669921875,20590.80078125,20384.05078125,20443.4609375,1809725000.0,HSI,HKD,0.0030592918764167365,20136.209765625,,,,,2624.21375
2012-01-30,20160.41015625,20518.0,20144.94921875,20518.0,2136671200.0,HSI,HKD,-0.016645461902636605,20230.9078125,,,,,2580.5325000000003
2012-01-31,20390.490234375,20465.890625,20219.26953125,20326.490234375,2386779600.0,HSI,HKD,0.011412470100647942,20320.416015625,,,,,2609.98275
2012-02-01,20333.369140625,20534.220703125,20269.509765625,20394.669921875,1499488400.0,HSI,HKD,-0.0028013595109009914,20365.016015625,,,,,2602.67125
2012-02-02,20739.44921875,20761.69921875,20564.970703125,20638.9609375,2100068000.0,HSI,HKD,0.019971116213774565,20425.077734375,19563.882421875,,,,2654.6495
2012-02-03,20756.98046875,20796.740234375,20639.490234375,20680.7109375,1663273500.0,HSI,HKD,0.0008453093336804329,20476.13984375,19657.8609375,,,0.011733120100968822,2656.8935
2012-02-06,20709.939453125,21015.55078125,20633.130859375,21015.55078125,1900864400.0,HSI,HKD,-0.002266274504416521,20586.045703125,19756.9923828125,,,0.01147336973123181,2650.87225
