,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing,missing_pct,dtype
Index,3429,6,NYA,3309,,,,,,,,0,0.0,object
Open,3309.0,,,,12771.868189885776,3047.1857593221116,7270.39990234375,10525.650390625,12406.1396484375,15327.76953125,20272.0390625,120,3.499562554680665,float64
High,3309.0,,,,12834.341979113544,3065.5601118660793,7320.6298828125,10582.4501953125,12456.2900390625,15419.5703125,20332.5,120,3.499562554680665,float64
Low,3309.0,,,,12705.825951122884,3031.2170667845007,7222.8798828125,10477.7900390625,12343.1796875,15228.98046875,20209.8203125,120,3.499562554680665,float64
Close,3309.0,,,,12774.078720706077,3048.4757275899533,7285.52978515625,10527.76953125,12393.66015625,15328.4599609375,20272.0390625,120,3.499562554680665,float64
Adj Close,3429.0,,,,13105.543259739425,3630.4065952026294,938.969970703125,10567.8095703125,12514.58984375,15548.4697265625,40369.44140625,0,0.0,float64
Volume,3309.0,,,,3884539900.2719855,920435110.0690278,0.0,3341430000.0,3723470000.0,4241380000.0,9976520000.0,120,3.499562554680665,float64
CloseUSD,3309.0,,,,12774.078720706077,3048.4757275899533,7285.52978515625,10527.76953125,12393.66015625,15328.4599609375,20272.0390625,120,3.499562554680665,float64
Open.1,0.0,,,,,,,,,,,3429,100.0,float64
High.1,0.0,,,,,,,,,,,3429,100.0,float64
Low.1,0.0,,,,,,,,,,,3429,100.0,float64
Close.1,0.0,,,,,,,,,,,3429,100.0,float64
Volume.1,0.0,,,,,,,,,,,3429,100.0,float64
Open.2,85.0,,,,23113.926792279413,3654.4311979351514,16258.2802734375,19983.400390625,22895.359375,25782.849609375,31702.560546875,3344,97.52114319043453,float64
High.2,85.0,,,,23243.104181985294,3645.551329282342,16334.4697265625,20093.650390625,22977.25,25838.26953125,31733.1796875,3344,97.52114319043453,float64
Low.2,85.0,,,,22963.328056066177,3622.2701875466996,16104.5,19786.73046875,22657.349609375,25579.150390625,31265.25,3344,97.52114319043453,float64
Close.2,85.0,,,,23107.390889246322,3620.922643354809,16155.6103515625,19925.810546875,22928.94921875,25701.630859375,31338.869140625,3344,97.52114319043453,float64
Volume.2,85.0,,,,1852863871.764706,836933448.5921118,622879700.0,1333799400.0,1729340100.0,2160800000.0,6736200000.0,3344,97.52114319043453,float64
Open.3,28.0,,,,22319.602783203125,7569.403085695619,9710.25,18350.142578125,20862.169921875,26764.19482421875,40277.44921875,3401,99.18343540390785,float64
High.3,28.0,,,,22406.53076171875,7605.092094549716,9739.58984375,18357.05029296875,20965.28515625,26838.3994140625,40521.7109375,3401,99.18343540390785,float64
Low.3,28.0,,,,22224.248500279016,7565.1691024609945,9659.16015625,18157.6953125,20815.01953125,26674.939453125,40268.109375,3401,99.18343540390785,float64
Close.3,28.0,,,,22335.74337332589,7595.570094860271,9688.4501953125,18203.91064453125,20934.03515625,26765.75439453125,40369.44140625,3401,99.18343540390785,float64
Volume.3,28.0,,,,78203571.42857143,49369344.83051917,0.0,48650000.0,74250000.0,119300000.0,181500000.0,3401,99.18343540390785,float64
Open.4,2.0,,,,1081.8250122070312,213.25630996936206,931.030029296875,1006.4275207519531,1081.8250122070312,1157.2225036621094,1232.6199951171875,3427,99.94167395742198,float64
High.4,2.0,,,,1096.7000122070312,220.8718638134205,940.52001953125,1018.6100158691406,1096.7000122070312,1174.7900085449219,1252.8800048828125,3427,99.94167395742198,float64
Low.4,2.0,,,,1081.7300109863281,213.3906619841224,930.8400268554688,1006.2850189208984,1081.7300109863281,1157.1750030517578,1232.6199951171875,3427,99.94167395742198,float64
Close.4,2.0,,,,1095.4949951171875,221.359812377147,938.969970703125,1017.2324829101562,1095.4949951171875,1173.7575073242188,1252.02001953125,3427,99.94167395742198,float64
Volume.4,2.0,,,,36912800.0,52202582.38516558,0.0,18456400.0,36912800.0,55369200.0,73825600.0,3427,99.94167395742198,float64
Open.5,0.0,,,,,,,,,,,3429,100.0,float64
High.5,0.0,,,,,,,,,,,3429,100.0,float64
Low.5,0.0,,,,,,,,,,,3429,100.0,float64
Close.5,0.0,,,,,,,,,,,3429,100.0,float64
Volume.5,0.0,,,,,,,,,,,3429,100.0,float64
Open.6,0.0,,,,,,,,,,,3429,100.0,float64
High.6,0.0,,,,,,,,,,,3429,100.0,float64
Low.6,0.0,,,,,,,,,,,3429,100.0,float64
Close.6,0.0,,,,,,,,,,,3429,100.0,float64
Volume.6,0.0,,,,,,,,,,,3429,100.0,float64
Open.7,4.0,,,,17890.91259765625,5635.539021099066,12202.150390625,13547.6123046875,17861.9248046875,22205.22509765625,23637.650390625,3425,99.88334791484398,float64
High.7,4.0,,,,17982.300048828125,5703.585170853961,12222.2001953125,13592.937255859375,17942.099609375,22331.46240234375,23822.80078125,3425,99.88334791484398,float64
Low.7,4.0,,,,17850.074951171875,5612.976056160253,12165.2998046875,13534.837158203125,17836.099609375,22151.33740234375,23562.80078125,3425,99.88334791484398,float64
Close.7,4.0,,,,17921.4501953125,5676.0811493710025,12182.5,13559.5,17880.2001953125,22242.150390625,23742.900390625,3425,99.88334791484398,float64
Volume.7,4.0,,,,242775.0,104344.9847061819,154000.0,154675.0,229500.0,317600.0,358100.0,3425,99.88334791484398,float64
Open.8,1.0,,,,5900.18017578125,,5900.18017578125,5900.18017578125,5900.18017578125,5900.18017578125,5900.18017578125,3428,99.97083697871099,float64
High.8,1.0,,,,6075.52001953125,,6075.52001953125,6075.52001953125,6075.52001953125,6075.52001953125,6075.52001953125,3428,99.97083697871099,float64
Low.8,1.0,,,,5900.18017578125,,5900.18017578125,5900.18017578125,5900.18017578125,5900.18017578125,5900.18017578125,3428,99.97083697871099,float64
Close.8,1.0,,,,6075.52001953125,,6075.52001953125,6075.52001953125,6075.52001953125,6075.52001953125,6075.52001953125,3428,99.97083697871099,float64
Volume.8,1.0,,,,90828400.0,,90828400.0,90828400.0,90828400.0,90828400.0,90828400.0,3428,99.97083697871099,float64
Open.9,0.0,,,,,,,,,,,3429,100.0,float64
High.9,0.0,,,,,,,,,,,3429,100.0,float64
Low.9,0.0,,,,,,,,,,,3429,100.0,float64
Close.9,0.0,,,,,,,,,,,3429,100.0,float64
Volume.9,0.0,,,,,,,,,,,3429,100.0,float64
Open.10,0.0,,,,,,,,,,,3429,100.0,float64
High.10,0.0,,,,,,,,,,,3429,100.0,float64
Low.10,0.0,,,,,,,,,,,3429,100.0,float64
Close.10,0.0,,,,,,,,,,,3429,100.0,float64
Volume.10,0.0,,,,,,,,,,,3429,100.0,float64
Open.11,0.0,,,,,,,,,,,3429,100.0,float64
High.11,0.0,,,,,,,,,,,3429,100.0,float64
Low.11,0.0,,,,,,,,,,,3429,100.0,float64
Close.11,0.0,,,,,,,,,,,3429,100.0,float64
Volume.11,0.0,,,,,,,,,,,3429,100.0,float64
